
======================================================================
  Arbitrage Paper Trading System
  Exchanges: binance, kraken, coinbase
  Symbols: BTC-USD, ETH-USD, SOL-USD
  Redis: connected
  Database: connected
  API Server: http://localhost:8000
  Starting Balance: $10,000.00
  Press Ctrl+C to stop
======================================================================

[10:14:34] Messages: 200 (binance=179  kraken=2  coinbase=19) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:14:41] Messages: 600 (binance=526  kraken=2  coinbase=72) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:14:44] Messages: 800 (binance=698  kraken=3  coinbase=99) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:14:45] Messages: 1000 (binance=888  kraken=3  coinbase=109) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:14:46] Messages: 1200 (binance=1072  kraken=3  coinbase=125) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:14:49] Messages: 1400 (binance=1246  kraken=4  coinbase=150) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:14:51] Messages: 1600 (binance=1428  kraken=4  coinbase=168) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:14:55] Messages: 1800 (binance=1592  kraken=4  coinbase=204) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:14:55] Messages: 2000 (binance=1788  kraken=4  coinbase=208) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:14:56] Messages: 2200 (binance=1975  kraken=4  coinbase=221) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:14:56] Messages: 2400 (binance=2171  kraken=4  coinbase=225) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:14:57] Messages: 2600 (binance=2364  kraken=4  coinbase=232) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:14:57] Messages: 2800 (binance=2557  kraken=4  coinbase=239) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:14:58] Messages: 3000 (binance=2756  kraken=4  coinbase=240) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:14:58] Messages: 3200 (binance=2953  kraken=4  coinbase=243) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:14:58] Messages: 3400 (binance=3151  kraken=4  coinbase=245) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:14:59] Messages: 3600 (binance=3332  kraken=4  coinbase=264) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:00] Messages: 3800 (binance=3519  kraken=4  coinbase=277) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:01] Messages: 4000 (binance=3710  kraken=4  coinbase=286) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:05] Messages: 4200 (binance=3884  kraken=4  coinbase=312) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:08] Messages: 4400 (binance=4063  kraken=4  coinbase=333) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:09] Messages: 4600 (binance=4255  kraken=4  coinbase=341) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:09] Messages: 4800 (binance=4454  kraken=4  coinbase=342) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:10] Messages: 5200 (binance=4836  kraken=4  coinbase=360) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:11] Messages: 5400 (binance=5022  kraken=6  coinbase=372) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:12] Messages: 5600 (binance=5218  kraken=6  coinbase=376) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:12] Messages: 5800 (binance=5416  kraken=6  coinbase=378) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:12] Messages: 6000 (binance=5615  kraken=6  coinbase=379) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:12] Messages: 6200 (binance=5811  kraken=6  coinbase=383) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:13] Messages: 6400 (binance=6003  kraken=6  coinbase=391) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:13] Messages: 6600 (binance=6199  kraken=6  coinbase=395) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:14] Messages: 6800 (binance=6386  kraken=6  coinbase=408) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:14] Messages: 7000 (binance=6584  kraken=6  coinbase=410) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:14] Messages: 7200 (binance=6782  kraken=6  coinbase=412) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:15] Messages: 7600 (binance=7170  kraken=6  coinbase=424) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:15] Messages: 7800 (binance=7366  kraken=6  coinbase=428) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:18] Messages: 8000 (binance=7540  kraken=6  coinbase=454) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:21] Messages: 8200 (binance=7715  kraken=6  coinbase=479) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:22] Messages: 8400 (binance=7899  kraken=11  coinbase=490) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:23] Messages: 8600 (binance=8096  kraken=11  coinbase=493) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:23] Messages: 8800 (binance=8294  kraken=11  coinbase=495) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:23] Messages: 9000 (binance=8490  kraken=12  coinbase=498) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:24] Messages: 9200 (binance=8678  kraken=12  coinbase=510) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:25] Messages: 9400 (binance=8855  kraken=13  coinbase=532) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:26] Messages: 9600 (binance=9038  kraken=13  coinbase=549) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:27] Messages: 9800 (binance=9236  kraken=13  coinbase=551) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:27] Messages: 10000 (binance=9424  kraken=13  coinbase=563) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:28] Messages: 10200 (binance=9615  kraken=14  coinbase=571) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
